FECHA;HORA;VELOCIDAD
21/08/2020;14878;0
21/08/2020;58013;48
21/08/2020;106512;45
21/08/2020;109378;42
21/08/2020;126279;51
21/08/2020;145945;0
21/08/2020;246745;51
21/08/2020;315113;0
21/08/2020;316712;0
21/08/2020;403778;39
21/08/2020;405278;50
21/08/2020;413112;0
21/08/2020;424045;0
21/08/2020;438512;51
21/08/2020;443913;40
21/08/2020;630043;0
21/08/2020;708077;0
21/08/2020;815876;0
21/08/2020;855077;46
21/08/2020;1118771;0
21/08/2020;1134305;0
21/08/2020;1142105;0
21/08/2020;1233904;0
21/08/2020;1245904;50
21/08/2020;1352237;0
21/08/2020;1448597;0
21/08/2020;1505730;62
21/08/2020;1518998;41
21/08/2020;1658663;102
21/08/2020;1707131;43
21/08/2020;1802996;0
21/08/2020;1833698;41
21/08/2020;1856597;0
21/08/2020;1935198;0
21/08/2020;1952897;35
21/08/2020;2143898;0
21/08/2020;2146165;41
21/08/2020;2152564;40
21/08/2020;2156664;56
21/08/2020;2207132;0
21/08/2020;2333964;0
21/08/2020;2502611;0
21/08/2020;2526211;0
21/08/2020;2542477;0
21/08/2020;2617078;0
21/08/2020;2630810;0
21/08/2020;2642577;0
21/08/2020;2827377;47
21/08/2020;2917377;0
21/08/2020;2936977;0
21/08/2020;3116053;45
21/08/2020;3207318;0
21/08/2020;3327818;51
21/08/2020;3410551;51
21/08/2020;3622371;0
21/08/2020;3625537;0
21/08/2020;3643004;0
21/08/2020;3858039;0
21/08/2020;3935437;0
21/08/2020;4129213;41
21/08/2020;4246879;52
21/08/2020;4319816;0
21/08/2020;4355313;0
21/08/2020;4528834;0
21/08/2020;4555837;56
21/08/2020;4557235;54
21/08/2020;4627434;46
21/08/2020;4645567;0
21/08/2020;4654700;0
21/08/2020;4729167;45
21/08/2020;4827466;0
21/08/2020;4844933;0
21/08/2020;4931534;0
21/08/2020;4939366;37
21/08/2020;5003649;0
21/08/2020;5126249;0
21/08/2020;5210015;0
21/08/2020;5319881;0
21/08/2020;5540944;0
21/08/2020;5634018;35
21/08/2020;5711044;49
21/08/2020;5756511;0
21/08/2020;5917176;0
21/08/2020;10005037;40
21/08/2020;10007636;0
21/08/2020;10019838;0
21/08/2020;10038036;57
21/08/2020;10048236;0
21/08/2020;10147670;34
21/08/2020;10156536;0
21/08/2020;10305070;0
21/08/2020;10538295;48
21/08/2020;10600495;42
21/08/2020;10607096;0
21/08/2020;10719729;42
21/08/2020;10735862;0
21/08/2020;11011000;39
21/08/2020;11559661;48
21/08/2020;11636395;39
21/08/2020;11725461;0
21/08/2020;11743130;42
21/08/2020;11956461;46
21/08/2020;12303164;42
21/08/2020;12624746;0
21/08/2020;12739413;36
21/08/2020;12847946;30
21/08/2020;12901812;0
21/08/2020;13026750;0
21/08/2020;13209549;0
21/08/2020;13241017;0
21/08/2020;13322349;0
21/08/2020;13519423;47
21/08/2020;13713557;0
21/08/2020;13737890;0
21/08/2020;13923823;53
21/08/2020;13934223;45
21/08/2020;14209316;0
21/08/2020;14317749;0
21/08/2020;14321482;35
