,FECHA,HORA,PLACA_DETECTADA,PLACA_CORREGIDA,ESTADO,MOTIVO DE RECHAZO
0,9/10/2020,2:17:35,RG3371,RG3371,Rechazado,IMAGEN CON FALTA DE ILUMINACIÓN
1,9/10/2020,4:17:41,CJ51,CJK21B,Rechazado,IMAGEN CON FALTA DE ILUMINACIÓN
2,9/10/2020,4:53:21,VVV10Z,MVV10D,Rechazado,IMAGEN CON FALTA DE ILUMINACIÓN
3,9/10/2020,4:55:08,JVU92E,,Rechazado,VEHÍCULO FUERA DEL CAMPO DE VISIBILIDAD
4,9/10/2020,5:07:11,VEU4C,VES40C,Rechazado,IMAGEN CON FALTA DE ILUMINACIÓN
5,9/10/2020,5:59:08,TJT14B,CJT14B,Aprobado,
6,9/10/2020,6:08:00,ANA,DAM43D,Aprobado,
7,9/10/2020,6:29:27,DTD322,DTD322,Aprobado,
8,9/10/2020,6:46:41,IN66,IMM343,Aprobado,
9,9/10/2020,6:48:58,DEE5421,DED421,Aprobado,
10,9/10/2020,7:20:14,TSB710,TSB710,Aprobado,
11,9/10/2020,7:55:27,DBF94E,DBF94E,Aprobado,
12,9/10/2020,8:04:10,NVC63C,NVC66C,Aprobado,
13,9/10/2020,8:18:17,0CQ6S,QCQ65B,Aprobado,
14,9/10/2020,8:21:46,KGK37E,KGK37E,Aprobado,
15,9/10/2020,8:35:20,IWB12B,IWB12B,Aprobado,
16,9/10/2020,8:55:01,JBO006,JBO006,Aprobado,
17,9/10/2020,8:58:21,BPZ02C,BPZ02C,Aprobado,
18,9/10/2020,9:44:40,AJA50F,AJA50F,Aprobado,
19,9/10/2020,9:56:57,NNNNI12,MMR124,Aprobado,
20,9/10/2020,10:43:36,DSE261,DSE261,Aprobado,
21,9/10/2020,11:35:00,PFS761,PFS761,Aprobado,
22,9/10/2020,12:03:13,HXF438,HXF438,Aprobado,
23,9/10/2020,12:11:24,3743894,,Rechazado,FORMATO DE PLACA NO CUMPLE
24,14/10/2020,12:05:51,GR3653,GRL653,Rechazado,IMAGEN CON FALTA DE ILUMINACIÓN
25,14/10/2020,12:25:12,GR3653,GRL653,Rechazado,IMAGEN CON FALTA DE ILUMINACIÓN
26,14/10/2020,12:26:29,GR3653,GRL653,Rechazado,IMAGEN CON FALTA DE ILUMINACIÓN
27,14/10/2020,12:27:57,GR3653,GRL653,Rechazado,IMAGEN CON FALTA DE ILUMINACIÓN
28,14/10/2020,12:49:02,GR3653,GRL653,Rechazado,IMAGEN CON FALTA DE ILUMINACIÓN
29,14/10/2020,12:50:46,GEB845,GEB845,Rechazado,IMAGEN CON FALTA DE ILUMINACIÓN
30,14/10/2020,12:52:10,GR2653,GRL653,Rechazado,IMAGEN CON FALTA DE ILUMINACIÓN
31,14/10/2020,12:52:10,GEB84,GEB845,Rechazado,IMAGEN CON FALTA DE ILUMINACIÓN
32,14/10/2020,12:53:52,GEB845,GEB845,Rechazado,IMAGEN CON FALTA DE ILUMINACIÓN
33,14/10/2020,1:13:48,KGK3E,KGK34E,Rechazado,IMAGEN CON FALTA DE ILUMINACIÓN
34,14/10/2020,1:25:40,KGK3E,KGK34E,Rechazado,IMAGEN CON FALTA DE ILUMINACIÓN
35,14/10/2020,1:25:44,C0Z01,CQZ07,Rechazado,IMAGEN CON FALTA DE ILUMINACIÓN
36,14/10/2020,5:44:11,IK89C,IJP59C,Rechazado,IMAGEN BORROSA
37,14/10/2020,6:00:41,AB146,ABH45B,Aprobado,
38,14/10/2020,7:04:03,LRP5D,LRP56D,Aprobado,
39,14/10/2020,7:33:57,8ZE83B,BZE83B,Aprobado,
40,14/10/2020,7:42:06,JHK166,JHK166,Aprobado,
41,14/10/2020,8:14:52,UBH259,UBH259,Aprobado,
42,14/10/2020,8:23:53,E199D,QMD66D,Aprobado,
43,14/10/2020,8:42:10,ITK60D,WTK60D,Aprobado,
44,14/10/2020,8:43:39,2SN06,ZSM06D,Aprobado,
45,14/10/2020,9:46:31,IU44B,IRF14B,Aprobado,
46,14/10/2020,5:54:04,3X38F,KOC08F,Rechazado,IMAGEN BORROSA
47,14/10/2020,7:11:23,ZU81C,ZUP51C,Rechazado,IMAGEN CON FALTA DE ILUMINACIÓN
48,14/10/2020,7:53:16,3P351,KPL51F,Rechazado,IMAGEN CON FALTA DE ILUMINACIÓN
49,14/10/2020,8:35:29,0357C,ZQP27A,Rechazado,IMAGEN CON FALTA DE ILUMINACIÓN
50,14/10/2020,9:26:27,STX278,STX278,Rechazado,VEHÍCULO FUERA DEL CAMPO DE VISIBILIDAD
51,14/10/2020,10:02:15,P054C,VPW24C,Rechazado,IMAGEN CON FALTA DE ILUMINACIÓN
